상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
9788966265046,S000218789214,이펙티브 타입스크립트,"35,000","31,500",10%,5%,"1,750",댄 밴더캄,인사이트,20251217,컴퓨터/IT
9791143015389,S000218730080,AI와 초·중등 교육의 변화,"12,000","12,000",0%,0%,0,홍옥수,커뮤니케이션북스,20251205,컴퓨터/IT
9791199529854,S000218641537,소프트웨어 아키텍처 The Basics,"43,000","38,700",10%,5%,"2,150",마크 리처즈 외,한빛미디어,20251130,컴퓨터/IT
9791158396503,S000218576652,LLM 디자인 패턴,"35,000","31,500",10%,5%,"1,750",켄 황,위키북스,20251125,컴퓨터/IT
9791140716159,S000218197637,2026 시나공 정보처리산업기사 필기 기본서,"30,000","27,000",10%,5%,"1,500",길벗알앤디,길벗,20251124,컴퓨터/IT
9788931481341,S000218278197,포토샵 AI with 파이어플라이,"25,000","22,500",10%,5%,"1,250",JASON KIM,영진닷컴,20251121,컴퓨터/IT
9791143010704,S000218570296,피지컬 AI와 법,"12,000","12,000",0%,0%,0,김윤명,커뮤니케이션북스,20251121,컴퓨터/IT
9791140716562,S000218604704,그림으로 이해하는 도커와 쿠버네티스,"22,000","19,800",10%,5%,"1,100",토쿠나가 코헤이,길벗,20251120,컴퓨터/IT
9791161759722,S000216564390,데이터로 측정하는 UX 리서치 3/e,"38,000","34,200",10%,5%,"1,900",Bill Albert 외,에이콘출판,20251113,컴퓨터/IT
9791143013897,S000218439680,AI와 가상현실의 철학,"12,000","12,000",0%,0%,0,이강원 외,커뮤니케이션북스,20251113,컴퓨터/IT
9791169214476,S000218400836,바이브 코딩 너머 개발자 생존법,"23,000","20,700",10%,5%,"1,150",애디 오스마니,한빛미디어,20251107,컴퓨터/IT
9791143000279,S000218304853,인공지능 윤리와 안전,"12,000","12,000",0%,3%,360,방준성,커뮤니케이션북스,20251107,컴퓨터/IT
9791158396404,S000218318818,MCP 실전 활용 & 서버 개발 핵심 가이드,"28,000","25,200",10%,5%,"1,400",AI튜터랩,위키북스,20251106,컴퓨터/IT
9791192038087,S000218193574,똑똑한 파이썬,"22,000","19,800",10%,5%,"1,100",황재호 외,인포앤북,20251101,컴퓨터/IT
9791140716326,S000218304652,그림과 실습으로 배우는 쿠버네티스 입문,"28,000","25,200",10%,5%,"1,400",타카하시 아오이,길벗,20251031,컴퓨터/IT
9791169214483,S000218331435,핸즈온 바이브 코딩: 요구사항 정의부터 리팩터링까지 직관이 아닌 원리로 익히는 실전 가이드,"22,000","19,800",10%,5%,"1,100",정도현,한빛미디어,20251031,컴퓨터/IT
9788966113217,S000218322836,2026 알기사 정보보안기사(산업기사) 필기+핵심기출 1200제 세트,"50,000","45,000",10%,5%,"2,500",조현준,지안에듀,20251030,컴퓨터/IT
9791158396374,S000218234961,이것이 UX/UI 디자인이다,"35,000","31,500",10%,5%,"1,750",조성봉,위키북스,20251030,컴퓨터/IT
9791169214452,S000218331318,스케치업&엔스케이프 트레이닝 북,"32,000","28,800",10%,5%,"1,600",강석창,한빛미디어,20251030,컴퓨터/IT
9788931476620,S000218183225,2026 이기적 GTQ 포토샵 1급 기본서 ver. CC,"24,000","21,600",10%,5%,"1,200",일마,영진닷컴,20251027,컴퓨터/IT
9788931479348,S000218081958,2026 이기적 컴퓨터활용능력 2급 필기 기출 800제,"13,000","11,700",10%,5%,650,영진정보연구소,영진닷컴,20251022,컴퓨터/IT
9788931481105,S000218081064,"리액트, Next.js로 완성하는 프론트엔드","36,000","32,400",10%,5%,"1,800",강경석,영진닷컴,20251020,컴퓨터/IT
9788931480344,S000217937669,2026 이기적 빅데이터분석기사 실기 Python 기본서,"32,000","28,800",10%,5%,"1,600",이삭 외,영진닷컴,20251017,컴퓨터/IT
9791194630210,S000217919085,AI 이후의 인간,"23,000","20,700",10%,5%,"1,150",반병현,생능북스,20251015,컴퓨터/IT
9791143005359,S000217922549,데이터 윤리,"12,000","12,000",0%,3%,360,김윤명,커뮤니케이션북스,20251014,컴퓨터/IT
9788931480108,S000217551114,2026 이기적 컴퓨터활용능력 1급 실기 기출문제집,"22,000","19,800",10%,5%,"1,100",박윤정,영진닷컴,20251003,컴퓨터/IT
9791169214414,S000217570343,크리핵티브의 한 권으로 끝내는 웹 해킹 바이블,"60,000","54,000",10%,5%,"3,000",하동민,한빛미디어,20251001,컴퓨터/IT
